time,x,y,z
0.012721,-0.296,0.033,0.077
0.025881,-0.332,0.004,0.077
0.044626,-0.31,-0.026,0.084
0.066293,-0.218,-0.047,0.071
0.084381,-0.144,-0.061,0.07
0.106214,-0.107,-0.053,0.075
0.125652,-0.134,-0.041,0.084
0.143998,-0.136,-0.044,0.1
0.163772,-0.097,-0.062,0.104
0.182617,-0.067,-0.075,0.104
0.201933,-0.088,-0.072,0.115
0.20759,-0.152,-0.073,0.141
0.207756,-0.156,-0.075,0.143
0.228052,-0.168,-0.078,0.151
0.2479,-0.172,-0.102,0.157
0.267089,-0.145,-0.097,0.143
0.28648,-0.071,-0.109,0.103
0.305625,0.012,-0.1,0.074
0.324644,0.078,-0.074,0.058
0.343232,0.17,-0.063,0.041
0.361253,0.303,-0.056,0.009
0.380832,0.43,-0.093,-0.051
0.39993,0.38,-0.095,-0.067
0.41891,0.21,-0.117,-0.03
0.422923,0.052,-0.162,-0.006
0.432037,0.043,-0.175,-0.011
0.43628,0.039,-0.22,-0.018
0.438856,0.047,-0.22,-0.017
0.441247,0.059,-0.213,-0.016
0.457941,0.075,-0.203,-0.015
0.479835,0.286,-0.173,-0.037
0.483933,0.73,-0.006,-0.106
0.485908,0.772,0.027,-0.104
0.488542,0.813,0.057,-0.1
0.491108,0.848,0.086,-0.094
0.499746,0.88,0.115,-0.086
0.503604,1.004,0.215,-0.058
0.506036,1.037,0.231,-0.054
0.519192,1.068,0.248,-0.056
0.5235,1.306,0.38,-0.089
0.539407,1.357,0.415,-0.104
0.541651,1.698,0.558,-0.206
0.558602,1.751,0.557,-0.221
0.577996,1.94,0.661,-0.273
0.597295,1.95,1.014,-0.071
0.618402,1.911,1.198,0.154
0.638887,1.87,1.4,0.231
0.652364,1.688,1.43,0.28
0.666867,1.393,1.426,0.336
0.672954,1.145,1.319,0.37
0.673208,1.102,1.288,0.376
0.674646,1.024,1.199,0.381
0.693566,0.989,1.145,0.386
0.697437,0.743,0.546,0.386
0.699927,0.715,0.47,0.378
0.702483,0.69,0.402,0.366
0.705064,0.662,0.344,0.359
0.707883,0.632,0.29,0.35
0.730523,0.603,0.246,0.339
0.732997,0.431,-0.118,0.212
0.737844,0.399,-0.181,0.187
0.740455,0.381,-0.211,0.171
0.750917,0.366,-0.24,0.16
0.755532,0.298,-0.361,0.103
0.758078,0.29,-0.382,0.1
0.771819,0.285,-0.403,0.1
0.775381,0.249,-0.474,0.138
0.790903,0.246,-0.469,0.151
0.810215,0.233,-0.315,0.219
0.813279,0.33,0.138,0.214
0.815693,0.358,0.192,0.205
0.818216,0.395,0.239,0.192
0.8206,0.435,0.274,0.182
0.82317,0.479,0.299,0.171
0.831578,0.527,0.316,0.16
0.835707,0.663,0.1,0.062
0.838419,0.646,-0.08,0.01
0.840873,0.645,-0.098,-0.017
0.851134,0.655,-0.093,-0.041
0.853651,0.677,-0.32,-0.126
0.856216,0.672,-0.373,-0.143
0.870339,0.653,-0.468,-0.178
0.873773,0.62,-0.631,-0.185
0.890404,0.623,-0.64,-0.17
0.909386,0.732,-0.772,-0.055
0.928276,0.794,-0.972,0.065
0.94713,0.757,-0.857,0.171
0.965862,0.835,-0.56,0.187
0.98447,1.098,-0.425,0.189
0.98778,1.383,-0.121,0.201
0.989613,1.412,-0.074,0.207
0.993086,1.439,-0.026,0.22
1.003709,1.465,0.016,0.235
1.007452,1.597,0.187,0.335
1.022884,1.625,0.217,0.352
1.041978,1.831,0.361,0.446
1.061658,1.93,0.2,0.359
1.08037,1.471,-0.353,0.071
1.099511,0.552,-0.81,0.061
1.11838,0.386,-0.831,1.215
1.121937,0.571,-0.253,1.547
1.125369,0.789,0.263,1.226
1.13792,0.854,0.336,1.137
1.140434,1.216,0.355,0.768
1.15706,1.298,0.308,0.713
1.176794,1.932,-0.085,0.446
1.195574,2.388,-0.274,0.299
1.214223,2.347,-0.32,0.371
1.233083,1.883,-0.513,0.676
1.252268,1.351,-0.63,0.71
1.27095,0.891,-0.438,0.522
1.289712,0.719,-0.108,0.404
1.294857,0.757,0.156,0.438
1.297602,0.778,0.17,0.452
1.299819,0.805,0.181,0.472
1.302334,0.832,0.184,0.493
1.304939,0.864,0.189,0.519
1.307332,0.896,0.197,0.544
1.316089,0.926,0.208,0.572
1.320014,1.01,0.29,0.698
1.322564,1.02,0.304,0.735
1.324676,1.029,0.308,0.768
