time,x,y,z
0.017042,-0.7968,0.178,0.3155
0.034757,-0.5242,-0.0994,0.4504
0.052155,-0.1646,-0.1183,0.1609
0.070255,0.0822,-0.2893,-0.6819
0.070376,-0.0589,-0.308,-0.5721
0.08763,-0.015,-0.3414,-0.3513
0.105348,-0.0073,-0.3127,-0.2539
0.12316,-0.2831,-0.2674,-0.4349
0.14092,0.1982,-0.6467,-0.8467
0.141088,0.5521,-0.6501,-1.0668
0.162946,0.7211,-0.7533,-0.9867
0.163652,0.9257,-0.9685,-0.7833
0.178394,0.5877,-0.9292,-0.4373
0.178499,0.0027,-0.9058,-0.4301
0.188118,-0.133,-0.7235,-0.6298
0.197604,-0.3533,-0.5063,-0.6369
0.214188,-0.9087,-0.6236,-0.9988
0.217925,-0.7633,-0.8821,-1.0083
0.231321,-0.3667,-1.1177,-0.5115
0.249677,0.2798,-1.2264,0.3274
0.249758,0.5754,-1.7607,1.2183
0.267457,0.8122,-2.3206,1.4831
0.267662,0.4652,-1.7601,1.3964
0.277057,1.1057,-0.3304,0.9197
0.28709,-0.8351,-2.2252,-0.2225
0.303381,-1.1348,-1.9321,-0.1164
0.307103,-1.5154,-0.9092,-0.827
0.320712,-0.8312,-2.36,0.5727
0.338919,-1.7735,-2.9398,-0.6731
0.339005,1.8245,-1.3724,-1.9296
0.356042,3.0627,-0.4884,-0.8547
0.356949,-0.8666,-2.5943,-0.7273
0.366742,-0.3551,-1.9338,-2.4462
0.376668,-1.0709,-1.4051,-3.175
0.392839,-0.9581,-1.4067,-2.9134
0.39663,-0.4303,-0.9311,-3.2651
0.409959,-0.6395,-0.6293,-3.0597
0.427837,0.2547,-0.4348,-3.08
0.427932,0.7871,-0.4414,-4.0496
0.445789,1.1788,-0.505,-4.7171
0.446731,1.7431,-0.9155,-4.8623
0.463416,4.2715,-1.1621,-5.5556
0.46651,3.4295,-1.6921,-6.7483
0.481118,3.8463,-1.6757,-7.5458
0.498597,3.9254,-1.7724,-6.3472
0.498856,1.3637,-2.8279,-7.5239
0.516017,-0.6929,-3.8357,-2.7895
0.516201,-2.6374,-3.6275,-0.1457
0.536983,-3.5139,-3.0025,0.9899
0.537195,-4.9546,-3.1013,2.5138
0.558444,-7.4744,-3.1693,2.5856
0.558636,-6.229,-0.3053,0.7838
0.565538,-3.2888,2.4639,-1.3975
0.576333,-2.1236,3.921,-2.9652
0.594403,-2.5785,4.5229,-2.9121
0.595962,-4.1582,4.2352,-1.6326
