time,x,y,z
0.011408,0.16,-0.051,-0.115
0.024432,0.221,-0.135,-0.201
0.041121,0.188,-0.152,-0.182
0.056252,0.089,-0.136,-0.125
0.078685,0.005,-0.201,-0.09
0.094214,-0.069,-0.226,0.098
0.097951,-0.123,-0.141,0.265
0.100465,-0.13,-0.122,0.27
0.103146,-0.142,-0.1,0.273
0.105845,-0.152,-0.07,0.274
0.112279,-0.16,-0.025,0.266
0.115722,-0.184,0.089,0.24
0.118275,-0.192,0.109,0.23
0.120801,-0.201,0.121,0.222
0.123355,-0.207,0.125,0.214
0.129179,-0.216,0.127,0.208
0.129267,-0.221,0.127,0.202
0.130955,-0.226,0.131,0.204
0.133323,-0.23,0.138,0.207
0.135816,-0.227,0.15,0.213
0.138302,-0.223,0.171,0.222
0.145502,-0.217,0.197,0.231
0.148242,-0.194,0.294,0.268
0.150845,-0.19,0.324,0.288
0.153627,-0.184,0.352,0.304
0.156189,-0.181,0.373,0.32
0.163172,-0.179,0.388,0.336
0.163525,-0.179,0.399,0.352
0.163814,-0.183,0.399,0.368
0.166388,-0.19,0.389,0.388
0.168836,-0.197,0.376,0.407
0.171197,-0.205,0.361,0.426
0.179987,-0.219,0.348,0.446
0.183916,-0.271,0.293,0.523
0.186324,-0.282,0.286,0.539
0.18887,-0.294,0.278,0.555
0.196517,-0.306,0.273,0.564
0.199159,-0.346,0.273,0.6
0.201651,-0.357,0.279,0.608
0.204023,-0.368,0.286,0.619
0.206768,-0.38,0.297,0.631
0.213306,-0.391,0.306,0.644
0.213639,-0.404,0.316,0.656
0.214147,-0.414,0.324,0.666
0.216815,-0.418,0.327,0.675
0.219313,-0.422,0.327,0.683
0.221923,-0.423,0.324,0.691
0.22985,-0.421,0.318,0.697
0.234428,-0.371,0.335,0.688
0.236964,-0.351,0.346,0.684
0.23938,-0.33,0.356,0.678
0.246187,-0.304,0.353,0.68
0.249423,-0.233,0.192,0.738
0.251787,-0.209,0.111,0.77
0.254522,-0.182,0.029,0.808
0.262732,-0.156,-0.054,0.847
0.266914,-0.063,-0.359,0.993
0.269676,-0.045,-0.434,1.014
0.27202,-0.035,-0.516,1.024
0.279761,-0.023,-0.602,1.025
0.282181,-0.004,-0.876,0.968
0.284757,0.006,-0.961,0.93
0.289761,0.034,-1.119,0.813
0.296978,0.052,-1.215,0.739
0.299755,0.103,-1.678,0.545
0.302317,0.123,-1.895,0.504
0.30485,0.146,-2.121,0.472
0.316775,0.179,-2.354,0.456
0.319797,0.475,-3.29,0.472
0.322121,0.56,-3.412,0.47
0.332332,0.651,-3.518,0.46
0.334828,1.046,-3.868,0.364
0.339906,1.249,-4.076,0.304
0.348677,1.353,-4.187,0.282
0.352489,1.736,-4.663,0.241
0.355549,1.818,-4.779,0.242
0.364556,1.896,-4.892,0.252
0.36738,2.154,-5.279,0.345
0.36996,2.203,-5.359,0.388
0.372375,2.247,-5.425,0.44
0.380867,2.278,-5.486,0.5
0.385024,2.326,-5.648,0.8
0.387514,2.324,-5.669,0.883
0.397089,2.31,-5.678,0.967
0.400083,2.207,-5.607,1.253
0.402668,2.168,-5.556,1.319
0.40538,2.128,-5.492,1.388
0.413496,2.086,-5.417,1.455
0.417787,1.867,-4.991,1.739
0.420356,1.803,-4.861,1.808
0.423054,1.733,-4.727,1.88
0.42987,1.665,-4.59,1.948
0.432876,1.45,-4.174,2.134
0.435494,1.385,-4.035,2.19
0.437946,1.321,-3.894,2.241
0.446552,1.262,-3.759,2.285
0.450537,1.093,-3.224,2.389
0.452969,1.067,-3.118,2.404
0.455937,1.047,-3.027,2.415
0.463018,1.032,-2.956,2.422
0.465668,1.035,-2.836,2.44
0.468056,1.047,-2.822,2.442
0.470735,1.064,-2.819,2.444
0.480023,1.085,-2.828,2.444
0.483606,1.18,-2.899,2.45
0.486115,1.207,-2.909,2.454
0.488481,1.23,-2.921,2.463
0.496527,1.254,-2.926,2.468
0.501177,1.346,-2.93,2.493
0.503617,1.366,-2.921,2.501
0.506313,1.386,-2.906,2.512
0.513378,1.401,-2.885,2.529
0.516438,1.441,-2.807,2.589
0.51878,1.454,-2.774,2.615
0.521456,1.467,-2.739,2.643
0.529896,1.478,-2.707,2.672
0.533967,1.538,-2.594,2.79
0.536662,1.557,-2.57,2.808
0.538983,1.581,-2.551,2.824
0.546689,1.61,-2.531,2.832
0.549676,1.672,-2.507,2.832
0.55395,1.78,-2.477,2.791
0.557076,1.821,-2.473,2.773
0.563748,1.857,-2.473,2.754
0.566878,1.949,-2.485,2.687
0.56934,1.976,-2.488,2.663
0.571739,1.997,-2.494,2.641
0.580375,2.015,-2.499,2.62
0.584413,2.048,-2.504,2.546
0.587344,2.049,-2.504,2.533
0.589824,2.044,-2.508,2.524
0.611953,2.036,-2.514,2.521
0.616624,1.992,-2.565,2.346
0.619111,2.006,-2.553,2.306
0.621922,2.025,-2.542,2.267
0.629263,2.046,-2.53,2.221
0.632557,2.068,-2.519,2.178
0.646345,2.139,-2.468,2.042
0.649643,2.28,-2.192,1.772
0.651967,2.302,-2.123,1.734
0.654528,2.316,-2.054,1.702
0.662844,2.326,-1.985,1.671
0.666959,2.309,-1.72,1.584
0.669517,2.29,-1.654,1.571
0.671956,2.267,-1.585,1.556
0.679448,2.245,-1.516,1.548
0.682225,2.154,-1.315,1.533
0.684724,2.116,-1.257,1.532
0.687357,2.077,-1.2,1.535
0.689996,2.034,-1.148,1.541
0.696195,1.99,-1.1,1.545
0.696283,1.945,-1.05,1.548
0.697522,1.898,-1.002,1.546
0.699893,1.841,-0.945,1.539
0.702318,1.778,-0.879,1.53
0.704909,1.708,-0.811,1.516
0.7139,1.638,-0.748,1.502
0.717827,1.382,-0.566,1.448
0.720193,1.327,-0.534,1.436
0.72272,1.275,-0.509,1.426
0.730805,1.23,-0.485,1.415
0.735417,1.082,-0.427,1.397
0.737953,1.055,-0.42,1.396
0.749668,1.034,-0.42,1.391
0.7627,1,-0.448,1.391
0.765463,1.075,-0.512,1.358
0.767852,1.093,-0.518,1.343
0.770324,1.113,-0.52,1.323
0.772845,1.122,-0.523,1.298
0.77926,1.129,-0.528,1.261
0.779383,1.136,-0.519,1.228
0.780512,1.143,-0.501,1.197
0.783124,1.154,-0.478,1.164
0.785655,1.166,-0.451,1.127
0.788052,1.169,-0.422,1.086
0.796194,1.167,-0.394,1.045
0.800656,1.064,-0.248,0.854
0.803218,1.008,-0.197,0.809
0.805661,0.927,-0.123,0.766
0.813339,0.801,-0.008,0.736
0.818341,-0.118,0.598,0.731
0.820763,-0.382,0.713,0.758
0.8235,-0.633,0.797,0.786
0.831103,-0.853,0.863,0.812
0.835923,-1.368,0.994,0.788
0.838527,-1.411,1.008,0.752
0.849637,-1.427,1.015,0.705
0.853655,-1.165,0.932,0.411
0.856188,-1.053,0.899,0.344
0.866754,-0.924,0.863,0.281
0.871148,-0.296,0.792,-0.002
0.884061,-0.213,0.762,-0.049
0.888783,-0.111,0.454,-0.24
0.900844,-0.126,0.413,-0.26
0.9038,-0.154,0.174,-0.357
0.906353,-0.14,0.116,-0.371
0.917261,-0.122,0.058,-0.384
0.92166,-0.008,-0.3,-0.462
0.934275,0.015,-0.387,-0.488
0.936871,0.132,-0.88,-0.704
0.939328,0.162,-0.984,-0.76
0.951036,0.194,-1.082,-0.811
0.954442,0.278,-1.448,-0.889
0.96809,0.273,-1.502,-0.864
0.971984,0.205,-1.682,-0.546
0.984467,0.205,-1.7,-0.469
0.987365,0.288,-1.728,-0.11
0.989688,0.318,-1.744,-0.054
1.001407,0.35,-1.762,-0.003
1.004707,0.58,-1.876,0.12
1.01805,0.635,-1.894,0.117
1.022568,0.883,-1.949,-0.038
1.034584,0.906,-1.94,-0.084
1.037585,0.898,-1.839,-0.267
1.040288,0.873,-1.829,-0.29
1.051236,0.848,-1.827,-0.303
1.055215,0.626,-1.79,-0.278
1.067923,0.59,-1.769,-0.302
1.071393,0.422,-1.56,-0.424
1.084583,0.36,-1.454,-0.447
1.087841,0.111,-1.119,-0.39
1.101425,0.057,-1.051,-0.376
1.105908,-0.111,-0.618,-0.328
1.118236,-0.104,-0.544,-0.319
1.123134,-0.101,-0.089,-0.278
1.135341,-0.112,-0.016,-0.281
1.138361,-0.194,0.314,-0.341
1.152352,-0.215,0.379,-0.361
1.156245,-0.465,0.728,-0.482
1.169112,-0.512,0.77,-0.498
1.173793,-0.802,1.126,-0.681
1.185981,-0.848,1.173,-0.712
1.188601,-1.014,1.318,-0.801
1.20269,-1.03,1.322,-0.817
1.206202,-1.011,1.139,-0.93
1.219538,-0.999,1.101,-0.95
1.236377,-0.973,0.835,-1.085
1.239071,-0.794,0.331,-0.98
1.253302,-0.782,0.258,-0.987
1.25689,-0.842,0.042,-1.005
1.271495,-0.869,0.021,-1.008
1.286577,-1.012,-0.072,-1.028
1.289253,-1.136,-0.081,-1.084
1.304051,-1.166,-0.051,-1.104
1.327389,-1.355,0.053,-1.317
1.331884,-1.239,-0.146,-1.458
1.334556,-1.234,-0.141,-1.481
1.336963,-1.222,-0.146,-1.511
1.33996,-1.206,-0.153,-1.533
1.34589,-1.181,-0.163,-1.562
1.349561,-1.087,-0.2,-1.576
1.352081,-1.055,-0.226,-1.55
1.3547,-1.018,-0.264,-1.516
1.363478,-0.976,-0.307,-1.479
1.367459,-0.794,-0.549,-1.345
1.36984,-0.758,-0.629,-1.305
1.372569,-0.722,-0.713,-1.268
1.380754,-0.689,-0.807,-1.228
1.385085,-0.525,-1.217,-1.07
1.387475,-0.476,-1.317,-1.036
1.398398,-0.429,-1.419,-1.007
1.403037,-0.181,-1.881,-0.952
1.405342,-0.136,-1.954,-0.95
1.41523,-0.091,-2.021,-0.954
1.418001,0.071,-2.246,-0.996
1.420241,0.106,-2.283,-1.008
1.422841,0.139,-2.314,-1.024
1.432078,0.161,-2.335,-1.041
1.435497,0.23,-2.335,-1.049
1.43797,0.252,-2.311,-1.038
1.448827,0.273,-2.278,-1.021
1.453038,0.343,-2.07,-0.924
1.455657,0.347,-2.025,-0.902
1.465833,0.348,-1.982,-0.887
1.468459,0.355,-1.793,-0.759
1.470833,0.363,-1.739,-0.713
1.482951,0.382,-1.64,-0.618
1.485823,0.43,-1.465,-0.435
1.488236,0.445,-1.418,-0.404
1.499854,0.459,-1.368,-0.361
1.5034,0.544,-1.061,-0.133
1.505964,0.56,-1.008,-0.092
1.516782,0.581,-0.958,-0.058
1.521109,0.685,-0.827,-0.02
1.523587,0.704,-0.817,-0.018
1.533758,0.725,-0.812,-0.026
1.536291,0.785,-0.845,-0.014
1.538739,0.79,-0.852,-0.003
1.551175,0.79,-0.855,0.01
1.553905,0.718,-0.691,0.123
1.556389,0.697,-0.662,0.171
